hazard,path,rp,rcp,epoch,confidence,key
coastal,hazards/Coastal_flood_data/Flood_maps_future_climate/RCP45_2100/JamaicaJAM001RCP452100_epsg_32618_RP_100.tif,100,4.5,2100,,coastal__rp_100__rcp_4x5__epoch_2100__conf_None
coastal,hazards/Coastal_flood_data/Flood_maps_future_climate/RCP85_2050/JamaicaJAM001RCP852050_epsg_32618_RP_1.tif,1,8.5,2050,,coastal__rp_1__rcp_8x5__epoch_2050__conf_None
coastal,hazards/Coastal_flood_data/Flood_maps_future_climate/RCP85_2050/JamaicaJAM001RCP852050_epsg_32618_RP_2.tif,2,8.5,2050,,coastal__rp_2__rcp_8x5__epoch_2050__conf_None
coastal,hazards/Coastal_flood_data/Flood_maps_future_climate/RCP85_2050/JamaicaJAM001RCP852050_epsg_32618_RP_5.tif,5,8.5,2050,,coastal__rp_5__rcp_8x5__epoch_2050__conf_None
coastal,hazards/Coastal_flood_data/Flood_maps_future_climate/RCP85_2050/JamaicaJAM001RCP852050_epsg_32618_RP_10.tif,10,8.5,2050,,coastal__rp_10__rcp_8x5__epoch_2050__conf_None
coastal,hazards/Coastal_flood_data/Flood_maps_future_climate/RCP85_2050/JamaicaJAM001RCP852050_epsg_32618_RP_50.tif,50,8.5,2050,,coastal__rp_50__rcp_8x5__epoch_2050__conf_None
coastal,hazards/Coastal_flood_data/Flood_maps_future_climate/RCP85_2050/JamaicaJAM001RCP852050_epsg_32618_RP_100.tif,100,8.5,2050,,coastal__rp_100__rcp_8x5__epoch_2050__conf_None
coastal,hazards/Coastal_flood_data/Flood_maps_future_climate/RCP85_2100/JamaicaJAM001RCP852100_epsg_32618_RP_1.tif,1,8.5,2100,,coastal__rp_1__rcp_8x5__epoch_2100__conf_None
coastal,hazards/Coastal_flood_data/Flood_maps_future_climate/RCP85_2100/JamaicaJAM001RCP852100_epsg_32618_RP_2.tif,2,8.5,2100,,coastal__rp_2__rcp_8x5__epoch_2100__conf_None
coastal,hazards/Coastal_flood_data/Flood_maps_future_climate/RCP85_2100/JamaicaJAM001RCP852100_epsg_32618_RP_5.tif,5,8.5,2100,,coastal__rp_5__rcp_8x5__epoch_2100__conf_None
coastal,hazards/Coastal_flood_data/Flood_maps_future_climate/RCP85_2100/JamaicaJAM001RCP852100_epsg_32618_RP_10.tif,10,8.5,2100,,coastal__rp_10__rcp_8x5__epoch_2100__conf_None
coastal,hazards/Coastal_flood_data/Flood_maps_future_climate/RCP85_2100/JamaicaJAM001RCP852100_epsg_32618_RP_50.tif,50,8.5,2100,,coastal__rp_50__rcp_8x5__epoch_2100__conf_None
coastal,hazards/Coastal_flood_data/Flood_maps_future_climate/RCP85_2100/JamaicaJAM001RCP852100_epsg_32618_RP_100.tif,100,8.5,2100,,coastal__rp_100__rcp_8x5__epoch_2100__conf_None
