"# Table of Jamaica Industrial Classification (JIC) 2005 → 2016 mapping, along with three-sector classification",,,,,,
"# Prepared by T. Russell and F. Thomas, March 2026",,,,,,
"# Three sector: 1: Agriculture, forestry, fishing, and mining; 2: Manufacturing, utilities and construction; 3: Services",,,,,,
"Three sector","Sector (2016)","Subsector (2016)","Sector (2005)","Subsector (2005)","Description (2016)","Description (2005)"
3,"M ",73,"K ",74,"Advertising and market research ","Other business activities "
3,"M ",74,"K ",74,"Other professional, scientific and technical activities ","Other business activities "
3,"N ",77,"K ",71,"Rental and leasing activities ","Renting of machinery and equipment without operator and of personal and household goods "
3,"N ",78,"K ",74,"Employment activities ","Other business activities "
3,"N ",79,"K ",63,"Travel agency, tour operator, reservation service and related activities ","Supporting and auxiliary transport activities; activities of travel agencies "
3,"N ",80,"K ",74,"Security and investigation activities ","Other business activities "
3,"O ",84,"L ",75,"Public administration and defence; compulsory social security ","Public administration and defence, compulsory social security "
3,"P ",85,"M ",80,"Education ","Education "
3,"Q ",86,"N ",85,"Human health activities ","Health and social work "
3,"Q ",88,"N ",85,"Social work activities without accommodation ","Health and social work "
3,"R ",90,"O ",92,"Creative, arts and entertainment activities ","Recreational, cultural and sporting activities "
3,"R ",91,"O ",92,"Libraries, archives, museums and other cultural activities ","Recreational, cultural and sporting activities "
3,"R ",93,"O ",92,"Sport activities and amusement and recreation activities ","Recreational, cultural and sporting activities "
3,"S ",94,"O ",91,"Activities of membership organisation ","Activities of membership organizations "
3,"S ",95,"O ",72,"Repair of computers and personal and household goods ","Computer and related activities "
3,"S ",96,"O ",93,"Other personal service activities ","Other service activities "
3,"T ",97,"P ",95,"Activities of households as employers of domestic personnel ","Private households with employed persons "
3,"U ",99,"Q ",99,"Activities of extraterritorial organizations and bodies ","Extra-territorial organizations and bodies "
